Country,Region,Subregion,Dimension,Category,Sex,Year
Germany,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2015
Austria,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Canada,Americas,Northern America,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Switzerland,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Germany,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Spain,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Croatia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Latvia,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2016
Austria,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Canada,Americas,Northern America,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Switzerland,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Germany,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Spain,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Latvia,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Oman,Asia,Western Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2017
Albania,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Austria,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Canada,Americas,Northern America,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Switzerland,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Germany,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Spain,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Croatia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Latvia,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Oman,Asia,Western Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2018
Austria,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Canada,Americas,Northern America,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Switzerland,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Germany,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Spain,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Croatia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Latvia,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Sweden,Europe,Northern Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019
Austria,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020
Canada,Americas,Northern America,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020
Switzerland,Europe,Western Europe,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020
