Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Andorra,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Azerbaijan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Burkina Faso,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Barbados,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
United Kingdom (Scotland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Georgia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Israel,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Jamaica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Kazakhstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Russian Federation,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Tajikistan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Trinidad and Tobago,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Holy See,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Kosovo under UNSCR 1244,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2009,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Andorra,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Azerbaijan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Burundi,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Burkina Faso,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Bahamas,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
China,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Cabo Verde,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2010,Judiciary
